B,S,H,Hkv,D,dtype,causal,FlyDSL_Time(us),FlyDSL_TFLOPS,FlyDSL_MaxErr,OPUS_Time(us),OPUS_TFLOPS,OPUS_MaxErr,CK_Time(us),CK_TFLOPS,CK_MaxErr,ASM_Time(us),ASM_TFLOPS,ASM_MaxErr,Fly/OPUS_TFLOPS%,Fly/OPUS_MaxErr_ratio,Fly/CK_TFLOPS%,Fly/CK_MaxErr_ratio,Fly/ASM_TFLOPS%,Fly/ASM_MaxErr_ratio
16,8192,64,64,128,bf16,causal,24777.9,710.0,3.91e-03,15810.4,1112.7,3.91e-03,20359.2,864.1,3.91e-03,29458.0,597.2,3.91e-03,63.8%,1.00x,82.2%,1.00x,118.9%,1.00x
16,8192,64,8,128,bf16,causal,24831.3,708.5,3.91e-03,14533.9,1210.4,3.91e-03,20157.0,872.8,3.91e-03,29356.5,599.3,3.91e-03,58.5%,1.00x,81.2%,1.00x,118.2%,1.00x
16,8192,64,64,128,bf16,nocausal,55215.4,637.2,2.44e-04,30640.9,1148.3,2.44e-04,38992.8,902.3,2.44e-04,29580.6,1189.4,2.44e-04,55.5%,1.00x,70.6%,1.00x,53.6%,1.00x
16,8192,64,8,128,bf16,nocausal,50167.5,701.3,2.44e-04,26357.4,1334.9,2.44e-04,40213.9,874.9,2.44e-04,27867.8,1262.5,2.44e-04,52.5%,1.00x,80.2%,1.00x,55.5%,1.00x
16,8192,64,64,128,fp16,causal,26446.3,665.2,4.88e-04,,,,21553.0,816.2,4.88e-04,,,,,,81.5%,1.00x,,
16,8192,64,8,128,fp16,causal,25733.9,683.6,4.88e-04,,,,21175.9,830.8,4.88e-04,,,,,,82.3%,1.00x,,
16,8192,64,64,128,fp16,nocausal,56112.0,627.0,3.05e-05,,,,40139.7,876.5,3.05e-05,,,,,,71.5%,1.00x,,
16,8192,64,8,128,fp16,nocausal,50365.7,698.6,3.05e-05,,,,41917.2,839.4,3.05e-05,,,,,,83.2%,1.00x,,
AVG (all),,,,,,,39206.2,678.9,1.17e-03,21835.6,1201.6,2.08e-03,30563.6,859.6,1.17e-03,29065.7,912.1,2.08e-03,56.5%,0.56x,79.0%,1.00x,74.4%,0.56x
AVG (bf16 causal),,,,,,,24804.6,709.2,3.91e-03,15172.1,1161.6,3.91e-03,20258.1,868.4,3.91e-03,29407.3,598.2,3.91e-03,61.1%,1.00x,81.7%,1.00x,118.6%,1.00x
AVG (bf16 nocausal),,,,,,,52691.4,669.3,2.44e-04,28499.2,1241.6,2.44e-04,39603.4,888.6,2.44e-04,28724.2,1226.0,2.44e-04,53.9%,1.00x,75.3%,1.00x,54.6%,1.00x
AVG (fp16 causal),,,,,,,26090.1,674.4,4.88e-04,,,,21364.4,823.5,4.88e-04,,,,,,81.9%,1.00x,,
AVG (fp16 nocausal),,,,,,,53238.9,662.8,3.05e-05,,,,41028.4,858.0,3.05e-05,,,,,,77.3%,1.00x,,
AVG (bf16),,,,,,,38748.0,689.3,2.08e-03,21835.6,1201.6,2.08e-03,29930.7,878.5,2.08e-03,29065.7,912.1,2.08e-03,57.4%,1.00x,78.5%,1.00x,75.6%,1.00x
AVG (fp16),,,,,,,39664.5,668.6,2.59e-04,,,,31196.4,840.7,2.59e-04,,,,,,79.5%,1.00x,,
AVG (causal),,,,,,,25447.4,691.8,2.20e-03,15172.1,1161.6,3.91e-03,20811.3,846.0,2.20e-03,29407.3,598.2,3.91e-03,59.6%,0.56x,81.8%,1.00x,115.6%,0.56x
AVG (nocausal),,,,,,,52965.1,666.0,1.37e-04,28499.2,1241.6,2.44e-04,40315.9,873.3,1.37e-04,28724.2,1226.0,2.44e-04,53.6%,0.56x,76.3%,1.00x,54.3%,0.56x
